00_AmdtCycle,01_Date,02_AU_MAP,03_AU_DAH,04_AU_ERSA,05_AU_DAP,06_AU_AIP
2112,20211202,62,02 DEC 2021,02DEC2021,169,109
2113,20211230,,,,,
2201,20220127,,,,,
2202,20220224,,,,,
2203,20220324,,,24MAR2022,170,110
2204,20220421,,,,,
2205,20220519,,,,,
2206,20220616,63,16 JUN 2022,16JUN2022,171,111
2207,20220714,,,,,
2208,20220811,,,,,
2209,20220908,,,08SEP2022,172,112
2210,20221006,,,,,
2211,20221103,,,,,
2212,20221201,64,01 DEC 2022,01DEC2022,173,113
2213,20221229,,,,,
2301,20230126,,,,,
2302,20230223,,,,,
2303,20230323,,,,,
2304,20230420,,,,,
2305,20230518,,,,,
2306,20230615,,,,,
2307,20230713,,,,,
2308,20230810,,,,,
2309,20230907,,,,,
2310,20231005,,,,,
2311,20231102,,,,,
2312,20231130,,,,,
2313,20231228,,,,,
2401,20240125,,,,,
2402,20240222,,,,,
2403,20240321,,,,,
2404,20240418,,,,,
2405,20240516,,,,,
2406,20240613,,,,,
2407,20240711,,,,,
2408,20240808,,,,,
2409,20240905,,,,,
2410,20241003,,,,,
2411,20241031,,,,,
2412,20241128,,,,,
2413,20241226,,,,,
2501,20250123,,,,,
2502,20250220,,,,,
2503,20250320,,,,,
2504,20250417,,,,,
2505,20250515,,,,,
2506,20250612,,,,,
2507,20250710,,,,,
2508,20250807,,,,,
2509,20250904,,,,,
2510,20251002,,,,,
2511,20251030,,,,,
2512,20251127,,,,,
2513,20251225,,,,,
